id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
16526,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '0'}","{'h': '2.08429', 'a': '0.502215'}",2021-12-11 15:00:00,"{'w': 0.7457702561343862, 'd': 0.17726989612168023, 'l': 0.0769598410952121}",l,74
16542,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '2'}","{'h': '1.49244', 'a': '0.625183'}",2021-12-15 19:30:00,"{'w': 0.5832068179974864, 'd': 0.26164469431605863, 'l': 0.15514848760953123}",d,74
16564,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '3'}","{'h': '1.53745', 'a': '1.35643'}",2021-12-26 15:00:00,"{'w': 0.41693504409271864, 'd': 0.24693171724431429, 'l': 0.33613323852695326}",w,74
16575,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '0.353043', 'a': '2.80917'}",2021-12-28 15:00:00,"{'w': 0.027744342671929982, 'd': 0.09594530980562595, 'l': 0.8763100490459668}",d,74
16551,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '4', 'a': '1'}","{'h': '1.59306', 'a': '0.621466'}",2022-01-11 21:45:00,"{'w': 0.6098312075847513, 'd': 0.2472150592928745, 'l': 0.1429537329360063}",w,74
16595,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '2.29917', 'a': '0.91728'}",2022-01-15 15:00:00,"{'w': 0.6839460010738622, 'd': 0.18119581713875718, 'l': 0.1348581580609233}",l,74
16604,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '1'}","{'h': '1.00222', 'a': '1.62907'}",2022-01-22 17:30:00,"{'w': 0.23273680662127716, 'd': 0.24713910736908654, 'l': 0.5201240857573177}",d,74
16613,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '3'}","{'h': '1.74286', 'a': '1.73293'}",2022-02-09 19:45:00,"{'w': 0.3902121334424374, 'd': 0.22366195948294001, 'l': 0.3861259058724041}",w,74
16621,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '1'}","{'h': '2.99207', 'a': '0.677386'}",2022-02-12 12:30:00,"{'w': 0.8347121301801598, 'd': 0.11003752878202334, 'l': 0.05524969200069592}",d,74
16633,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '0'}","{'h': '2.72851', 'a': '0.19991'}",2022-02-19 15:00:00,"{'w': 0.8978719058704571, 'd': 0.08688076567421181, 'l': 0.01524712068731164}",w,74
